Date,Open,High,Low,Close,Adj Close,Volume,log-returns
03/01/2022,1.128541,1.136364,1.127764,1.136364,1.136364,0,
10/01/2022,1.135344,1.148369,1.128834,1.141644,1.141644,0,0.004635637
17/01/2022,1.141214,1.143458,1.130224,1.134507,1.134507,0,-0.006271133
24/01/2022,1.134095,1.134095,1.112335,1.114827,1.114827,0,-0.017498959
31/01/2022,1.115138,1.148369,1.114504,1.145082,1.145082,0,0.026777014
07/02/2022,1.145462,1.149425,1.135074,1.135074,1.135074,0,-0.008778403
14/02/2022,1.136583,1.139315,1.12928,1.132375,1.132375,0,-0.00238065
21/02/2022,1.131734,1.138563,1.111049,1.127307,1.127307,0,-0.004485594
28/02/2022,1.118105,1.124455,1.089004,1.095122,1.095122,0,-0.02896583
07/03/2022,1.087394,1.111617,1.080859,1.091238,1.091238,0,-0.003552941
14/03/2022,1.093255,1.111791,1.090251,1.106439,1.106439,0,0.013833919
21/03/2022,1.104216,1.106672,1.096155,1.098539,1.098539,0,-0.007165635
28/03/2022,1.098189,1.118306,1.094535,1.104972,1.104972,0,0.00583888
04/04/2022,1.104728,1.105705,1.083694,1.087619,1.087619,0,-0.015829092
11/04/2022,1.088495,1.093279,1.075859,1.081666,1.081666,0,-0.005488458
18/04/2022,1.081525,1.09347,1.076195,1.080264,1.080264,0,-0.001296989
25/04/2022,1.081105,1.081221,1.047285,1.05463,1.05463,0,-0.024015461
02/05/2022,1.053596,1.064,1.048537,1.054964,1.054964,0,0.000316649
09/05/2022,1.053219,1.058582,1.035197,1.041233,1.041233,0,-0.013101055
16/05/2022,1.040063,1.059883,1.039134,1.056412,1.056412,0,0.014472673
23/05/2022,1.056982,1.076507,1.05687,1.073883,1.073883,0,0.016402791
30/05/2022,1.073146,1.078516,1.063174,1.072156,1.072156,0,-0.001609477
06/06/2022,1.072605,1.077006,1.050773,1.052133,1.052133,0,-0.018852042
13/06/2022,1.048999,1.055175,1.03826,1.049648,1.049648,0,-0.002364662
20/06/2022,1.049142,1.060288,1.047186,1.055855,1.055855,0,0.005895995
27/06/2022,1.056613,1.061425,1.036989,1.04297,1.04297,0,-0.012278453
04/07/2022,1.043395,1.046353,1.007973,1.018745,1.018745,0,-0.023500935
11/07/2022,1.016611,1.016777,0.995362,1.008868,1.008868,0,-0.009742567
18/07/2022,1.009632,1.027538,1.008237,1.021555,1.021555,0,0.012497066
25/07/2022,1.020023,1.025641,1.010744,1.022704,1.022704,0,0.001124124
01/08/2022,1.020825,1.029315,1.01232,1.018019,1.018019,0,-0.004591518
08/08/2022,1.017087,1.036914,1.016002,1.026388,1.026388,0,0.008187261
15/08/2022,1.025641,1.026715,1.003623,1.004218,1.004218,0,-0.021836714
22/08/2022,1.003522,1.008827,0.990315,0.996711,0.996711,0,-0.00750355
29/08/2022,0.993868,1.007739,0.991493,0.995917,0.995917,0,-0.000796938
05/09/2022,0.990943,1.015538,0.986514,1.015538,1.015538,0,0.01950988
12/09/2022,1.007141,1.01968,0.99458,1.001562,1.001562,0,-0.01385774
19/09/2022,1.002235,1.005025,0.969086,0.969086,0.969086,0,-0.032962701
26/09/2022,0.968992,0.984999,0.954016,0.980488,0.980488,0,0.011697048
03/10/2022,0.979269,0.99942,0.97317,0.974032,0.974032,0,-0.00660625
10/10/2022,0.973501,0.980383,0.963595,0.972479,0.972479,0,-0.001595676
17/10/2022,0.973937,0.987362,0.970732,0.986291,0.986291,0,0.014102961
24/10/2022,0.986009,1.009489,0.980892,0.996612,0.996612,0,0.010410084
31/10/2022,0.9955,0.998502,0.973122,0.998502,0.998502,0,0.001894629
07/11/2022,0.992881,1.037452,0.991945,1.037452,1.037452,0,0.03826683
14/11/2022,1.032855,1.047548,1.027359,1.034661,1.034661,0,-0.00269387
21/11/2022,1.03309,1.044823,1.022704,1.041558,1.041558,0,0.006643832
28/11/2022,1.036753,1.054519,1.02923,1.053852,1.053852,0,0.011734354
05/12/2022,1.054419,1.059412,1.044376,1.054852,1.054852,0,0.00094845
12/12/2022,1.052222,1.072559,1.050707,1.060108,1.060108,0,0.004970317
19/12/2022,1.058504,1.067122,1.05772,1.06678,1.06678,0,0.006273976
26/12/2022,1.06678,1.072846,1.060895,1.072846,1.072846,0,0.005670165
