Date,Open,High,Low,Close,Adj Close,Volume,log returns
03/01/2022,1.352228,1.36,1.343274,1.359,1.359,0,
10/01/2022,1.359083,1.374949,1.353418,1.367701,1.367701,0,0.006382093
17/01/2022,1.367353,1.368899,1.354757,1.356,1.356,0,-0.008592039
24/01/2022,1.355491,1.356668,1.336059,1.341,1.341,0,-0.011123585
31/01/2022,1.340213,1.362546,1.339531,1.35388,1.35388,0,0.00955894
07/02/2022,1.353363,1.364331,1.349182,1.356399,1.356399,0,0.00185885
14/02/2022,1.357018,1.36407,1.349018,1.359519,1.359519,0,0.002297567
21/02/2022,1.359179,1.363829,1.327598,1.3409,1.3409,0,-0.01378993
28/02/2022,1.337006,1.343725,1.320533,1.3229,1.3229,0,-0.013514734
07/03/2022,1.321248,1.322594,1.303161,1.304,1.304,0,-0.014389833
14/03/2022,1.304955,1.321109,1.300136,1.3182,1.3182,0,0.010830706
21/03/2022,1.316067,1.329893,1.312095,1.3192,1.3192,0,0.000758323
28/03/2022,1.317697,1.318061,1.305227,1.311599,1.311599,0,-0.005778489
04/04/2022,1.310513,1.31669,1.298482,1.301931,1.301931,0,-0.007398457
11/04/2022,1.302948,1.314752,1.297438,1.3061,1.3061,0,0.003197051
18/04/2022,1.305773,1.308832,1.2839,1.284099,1.284099,0,-0.016988293
25/04/2022,1.282907,1.282972,1.241403,1.257499,1.257499,0,-0.020932477
02/05/2022,1.257379,1.263169,1.22777,1.2341,1.2341,0,-0.018782868
09/05/2022,1.232894,1.240495,1.215717,1.227,1.227,0,-0.005769794
16/05/2022,1.226151,1.25227,1.221896,1.248999,1.248999,0,0.017770265
23/05/2022,1.250688,1.266624,1.247272,1.263011,1.263011,0,0.011156122
30/05/2022,1.262515,1.266031,1.246013,1.248999,1.248999,0,-0.011156122
06/06/2022,1.248829,1.259446,1.231557,1.2318,1.2318,0,-0.013865916
13/06/2022,1.227807,1.235025,1.199213,1.2227,1.2227,0,-0.007414986
20/06/2022,1.222823,1.231922,1.216856,1.2266,1.2266,0,0.003184586
27/06/2022,1.228803,1.233076,1.198064,1.211,1.211,0,-0.01279965
04/07/2022,1.21058,1.216515,1.187761,1.2031,1.2031,0,-0.006544906
11/07/2022,1.201779,1.201995,1.176318,1.1856,1.1856,0,-0.014652583
18/07/2022,1.188792,1.206418,1.18755,1.2006,1.2006,0,0.012572456
25/07/2022,1.198423,1.22426,1.196215,1.218,1.218,0,0.014388737
01/08/2022,1.216782,1.229196,1.200769,1.2074,1.2074,0,-0.008740882
08/08/2022,1.206389,1.227446,1.204863,1.21422,1.21422,0,0.005632608
15/08/2022,1.212989,1.214772,1.179329,1.1831,1.1831,0,-0.025963783
22/08/2022,1.181768,1.190009,1.172003,1.175101,1.175101,0,-0.006784011
29/08/2022,1.16918,1.175807,1.150324,1.151,1.151,0,-0.020722972
05/09/2022,1.147855,1.164863,1.140953,1.1602,1.1602,0,0.007961274
12/09/2022,1.161805,1.173764,1.135267,1.1538,1.1538,0,-0.005531561
19/09/2022,1.143641,1.14604,1.085,1.086,1.086,0,-0.060559621
26/09/2022,1.079914,1.123394,1.037904,1.1152,1.1152,0,0.02653254
03/10/2022,1.113648,1.149491,1.108795,1.1088,1.1088,0,-0.005755412
10/10/2022,1.107444,1.136196,1.092645,1.1173,1.1173,0,0.007636711
17/10/2022,1.123873,1.143864,1.106378,1.1306,1.1306,0,0.011833405
24/10/2022,1.133645,1.164415,1.12737,1.1615,1.1615,0,0.026963808
31/10/2022,1.160079,1.161332,1.116258,1.1379,1.1379,0,-0.020527815
07/11/2022,1.133787,1.1839,1.129535,1.1839,1.1839,0,0.039629615
14/11/2022,1.179746,1.200408,1.171193,1.189,1.189,0,0.004298544
21/11/2022,1.188665,1.215421,1.178051,1.2092,1.2092,0,0.016846366
28/11/2022,1.206054,1.230164,1.190377,1.2301,1.2301,0,0.017136483
05/12/2022,1.229755,1.234476,1.210786,1.2259,1.2259,0,-0.003420199
12/12/2022,1.223676,1.244153,1.212239,1.2145,1.2145,0,-0.009342799
19/12/2022,1.216072,1.224155,1.199429,1.2054,1.2054,0,-0.007521007
26/12/2022,1.206001,1.212415,1.200336,1.205633,1.205633,0,0.000193278
